"fecha","id_local","id_articulo","venta","cantidad_vendida","precio_unitario","costo_de_venta","margen_bruto","porcentaje_descuento","local","articulo","categoria","tamaño_local","ubicacion_local"
"2023-01-01 00:00:00","Local_1","41","96.06","1","101.12","50.56","45.5","0.05","Sucursal Norte","ART_041","Hogar","mediano","periferia"
"2023-01-01 00:00:00","Local_1","45","387.64","2","193.82","193.82","193.82","0","Sucursal Norte","ART_045","Hogar","mediano","periferia"
"2023-01-01 00:00:00","Local_1","68","43.64","1","43.64","19.64","24","0","Sucursal Norte","ART_068","Deportes","mediano","periferia"
"2023-01-01 00:00:00","Local_1","74","1071.6","12","89.3","321.48","750.12","0","Sucursal Norte","ART_074","Belleza","mediano","periferia"
"2023-01-01 00:00:00","Local_1","77","135.4","2","67.7","40.62","94.78","0","Sucursal Norte","ART_077","Belleza","mediano","periferia"
"2023-01-01 00:00:00","Local_1","78","174.5","3","58.17","52.35","122.15","0","Sucursal Norte","ART_078","Belleza","mediano","periferia"
"2023-01-01 00:00:00","Local_2","5","883.03","1","929.5","557.7","325.33","0.05","Matriz","ART_005","Electrónica","grande","centro"
"2023-01-01 00:00:00","Local_2","18","268.44","2","141.29","98.9","169.54","0.05","Matriz","ART_018","Textil","grande","centro"
"2023-01-01 00:00:00","Local_2","19","123.47","1","129.97","45.49","77.98","0.05","Matriz","ART_019","Textil","grande","centro"
"2023-01-01 00:00:00","Local_2","20","106.31","1","106.31","37.21","69.1","0","Matriz","ART_020","Textil","grande","centro"
"2023-01-01 00:00:00","Local_2","21","185.81","2","103.23","72.26","113.55","0.1","Matriz","ART_021","Textil","grande","centro"
"2023-01-01 00:00:00","Local_2","22","207.66","2","103.83","72.68","134.98","0","Matriz","ART_022","Textil","grande","centro"
"2023-01-01 00:00:00","Local_2","23","100.24","1","105.51","36.93","63.31","0.05","Matriz","ART_023","Textil","grande","centro"
"2023-01-01 00:00:00","Local_2","24","263.71","2","131.86","92.3","171.41","0","Matriz","ART_024","Textil","grande","centro"
"2023-01-01 00:00:00","Local_2","25","268.41","2","149.11","104.38","164.03","0.1","Matriz","ART_025","Textil","grande","centro"
"2023-01-01 00:00:00","Local_2","26","175.97","1","175.97","61.59","114.38","0","Matriz","ART_026","Textil","grande","centro"
"2023-01-01 00:00:00","Local_2","27","195.09","2","97.54","68.28","126.81","0","Matriz","ART_027","Textil","grande","centro"
"2023-01-01 00:00:00","Local_2","28","93.7","1","104.11","36.44","57.26","0.1","Matriz","ART_028","Textil","grande","centro"
"2023-01-01 00:00:00","Local_2","29","101.31","1","101.31","35.46","65.85","0","Matriz","ART_029","Textil","grande","centro"
"2023-01-01 00:00:00","Local_2","30","190.86","2","95.43","66.8","124.06","0","Matriz","ART_030","Textil","grande","centro"
"2023-01-01 00:00:00","Local_2","31","74.51","1","93.14","32.6","41.91","0.2","Matriz","ART_031","Textil","grande","centro"
"2023-01-01 00:00:00","Local_2","32","169.83","2","106.14","74.3","95.53","0.2","Matriz","ART_032","Textil","grande","centro"
"2023-01-01 00:00:00","Local_2","33","182.97","2","91.49","64.04","118.93","0","Matriz","ART_033","Textil","grande","centro"
"2023-01-01 00:00:00","Local_2","35","144.09","1","144.09","50.43","93.66","0","Matriz","ART_035","Textil","grande","centro"
"2023-01-01 00:00:00","Local_2","36","152.14","1","152.14","53.25","98.89","0","Matriz","ART_036","Textil","grande","centro"
"2023-01-01 00:00:00","Local_2","37","104.64","1","104.64","52.32","52.32","0","Matriz","ART_037","Hogar","grande","centro"
"2023-01-01 00:00:00","Local_2","38","88.6","2","44.3","44.3","44.3","0","Matriz","ART_038","Hogar","grande","centro"
"2023-01-01 00:00:00","Local_2","43","64.6","1","64.6","32.3","32.3","0","Matriz","ART_043","Hogar","grande","centro"
"2023-01-01 00:00:00","Local_2","46","102.02","1","102.02","51.01","51.01","0","Matriz","ART_046","Hogar","grande","centro"
"2023-01-01 00:00:00","Local_2","48","94.14","1","94.14","47.07","47.07","0","Matriz","ART_048","Hogar","grande","centro"
"2023-01-01 00:00:00","Local_2","49","103.86","1","103.86","51.93","51.93","0","Matriz","ART_049","Hogar","grande","centro"
"2023-01-01 00:00:00","Local_2","51","153.92","1","162.02","81.01","72.91","0.05","Matriz","ART_051","Hogar","grande","centro"
"2023-01-01 00:00:00","Local_2","52","100.08","1","100.08","50.04","50.04","0","Matriz","ART_052","Hogar","grande","centro"
"2023-01-01 00:00:00","Local_2","53","112.24","1","112.24","50.51","61.73","0","Matriz","ART_053","Deportes","grande","centro"
"2023-01-01 00:00:00","Local_2","55","158.08","2","83.2","74.88","83.2","0.05","Matriz","ART_055","Deportes","grande","centro"
"2023-01-01 00:00:00","Local_2","58","115.16","1","121.22","54.55","60.61","0.05","Matriz","ART_058","Deportes","grande","centro"
"2023-01-01 00:00:00","Local_2","59","65.87","1","65.87","29.64","36.23","0","Matriz","ART_059","Deportes","grande","centro"
"2023-01-01 00:00:00","Local_2","60","145.56","2","72.78","65.5","80.06","0","Matriz","ART_060","Deportes","grande","centro"
"2023-01-01 00:00:00","Local_2","62","372.44","2","186.22","167.6","204.84","0","Matriz","ART_062","Deportes","grande","centro"
"2023-01-01 00:00:00","Local_2","63","112.78","1","112.78","50.75","62.03","0","Matriz","ART_063","Deportes","grande","centro"
"2023-01-01 00:00:00","Local_2","64","106.4","1","112","50.4","56","0.05","Matriz","ART_064","Deportes","grande","centro"
"2023-01-01 00:00:00","Local_2","66","211.59","2","132.24","119.02","92.57","0.2","Matriz","ART_066","Deportes","grande","centro"
